source_date,source_time,dataset,instrument,surface,tenor,metric,value,unit,day_change,percentile_1y,percentile_3y,observations_1y,observations_3y,source_url
2026-09-02,10:00,options,USD.CNY,25D BF,1D,implied_vol_mid,0.1,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,1M,implied_vol_ask,0.0675,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,1M,implied_vol_bid,0.0675,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,1M,implied_vol_mid,0.0675,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,1W,implied_vol_ask,0.0706,pct,0.0206,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,1W,implied_vol_bid,0.0706,pct,0.0206,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,1W,implied_vol_mid,0.0706,pct,0.0206,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,1Y,implied_vol_ask,0.28,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,1Y,implied_vol_bid,0.07,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,1Y,implied_vol_mid,0.175,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,2M,implied_vol_ask,0.085,pct,-0.085,50.0,50.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,2M,implied_vol_bid,0.085,pct,0.085,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,2M,implied_vol_mid,0.085,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,2W,implied_vol_ask,0.0675,pct,0.0175,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,2W,implied_vol_bid,0.0675,pct,0.0175,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,2W,implied_vol_mid,0.0675,pct,0.0175,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
2026-09-02,10:00,options,USD.CNY,25D BF,2Y,implied_vol_ask,0.32,pct,0.0,100.0,100.0,2,2,https://www.chinamoney.com.cn/chinese/bkcurvfqq/
